             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7404612 general-c     2872 yudhajit PD       0:00      1 (Priority)
           7404613 general-c     2873 yudhajit PD       0:00      1 (Priority)
           7404614 general-c     2874 yudhajit PD       0:00      1 (Priority)
           7404615 general-c     2875 yudhajit PD       0:00      1 (Priority)
           7404617 general-c     2876 yudhajit PD       0:00      1 (Priority)
           7404618 general-c     2877 yudhajit PD       0:00      1 (Priority)
           7404619 general-c     2878 yudhajit PD       0:00      1 (Priority)
           7404620 general-c     2879 yudhajit PD       0:00      1 (Priority)
           7404621 general-c     2880 yudhajit PD       0:00      1 (Priority)
           7404622 general-c     2881 yudhajit PD       0:00      1 (Priority)
           7404623 general-c     2882 yudhajit PD       0:00      1 (Priority)
           7404624 general-c     2883 yudhajit PD       0:00      1 (Priority)
           7404625 general-c     2884 yudhajit PD       0:00      1 (Priority)
           7404626 general-c     2885 yudhajit PD       0:00      1 (Priority)
           7404628 general-c     2886 yudhajit PD       0:00      1 (Priority)
           7404629 general-c     2887 yudhajit PD       0:00      1 (Priority)
           7404630 general-c     2888 yudhajit PD       0:00      1 (Priority)
           7404631 general-c     2889 yudhajit PD       0:00      1 (Priority)
           7404632 general-c     2890 yudhajit PD       0:00      1 (Priority)
           7404633 general-c     2891 yudhajit PD       0:00      1 (Priority)
           7404634 general-c     2892 yudhajit PD       0:00      1 (Priority)
           7404635 general-c     2893 yudhajit PD       0:00      1 (Priority)
           7404636 general-c     2894 yudhajit PD       0:00      1 (Priority)
           7404637 general-c     2895 yudhajit PD       0:00      1 (Priority)
           7404639 general-c     2896 yudhajit PD       0:00      1 (Priority)
           7404640 general-c     2897 yudhajit PD       0:00      1 (Priority)
           7404641 general-c     2898 yudhajit PD       0:00      1 (Priority)
           7404642 general-c     2899 yudhajit PD       0:00      1 (Priority)
           7404643 general-c     2900 yudhajit PD       0:00      1 (Priority)
           7404644 general-c     2901 yudhajit PD       0:00      1 (Priority)
           7404645 general-c     2902 yudhajit PD       0:00      1 (Priority)
           7404646 general-c     2903 yudhajit PD       0:00      1 (Priority)
           7404647 general-c     2904 yudhajit PD       0:00      1 (Priority)
           7404648 general-c     2905 yudhajit PD       0:00      1 (Priority)
           7404650 general-c     2906 yudhajit PD       0:00      1 (Priority)
           7404651 general-c     2907 yudhajit PD       0:00      1 (Priority)
           7404652 general-c     2908 yudhajit PD       0:00      1 (Priority)
           7404653 general-c     2909 yudhajit PD       0:00      1 (Priority)
           7404654 general-c     2910 yudhajit PD       0:00      1 (Priority)
           7404655 general-c     2911 yudhajit PD       0:00      1 (Priority)
           7404656 general-c     2912 yudhajit PD       0:00      1 (Priority)
           7404657 general-c     2913 yudhajit PD       0:00      1 (Priority)
           7404658 general-c     2914 yudhajit PD       0:00      1 (Priority)
           7404659 general-c     2915 yudhajit PD       0:00      1 (Priority)
           7404661 general-c     2916 yudhajit PD       0:00      1 (Priority)
           7404662 general-c     2917 yudhajit PD       0:00      1 (Priority)
           7404663 general-c     2918 yudhajit PD       0:00      1 (Priority)
           7404664 general-c     2919 yudhajit PD       0:00      1 (Priority)
           7404665 general-c     2920 yudhajit PD       0:00      1 (Priority)
           7404666 general-c     2921 yudhajit PD       0:00      1 (Priority)
           7404668 general-c     2922 yudhajit PD       0:00      1 (Priority)
           7404669 general-c     2923 yudhajit PD       0:00      1 (Priority)
           7404670 general-c     2924 yudhajit PD       0:00      1 (Priority)
           7404671 general-c     2925 yudhajit PD       0:00      1 (Priority)
           7404672 general-c     2926 yudhajit PD       0:00      1 (Priority)
           7404673 general-c     2927 yudhajit PD       0:00      1 (Priority)
           7404674 general-c     2928 yudhajit PD       0:00      1 (Priority)
           7404675 general-c     2929 yudhajit PD       0:00      1 (Priority)
           7404676 general-c     2930 yudhajit PD       0:00      1 (Priority)
           7404677 general-c     2931 yudhajit PD       0:00      1 (Priority)
           7404679 general-c     2932 yudhajit PD       0:00      1 (Priority)
           7404681 general-c     2933 yudhajit PD       0:00      1 (Priority)
           7404682 general-c     2934 yudhajit PD       0:00      1 (Priority)
           7404683 general-c     2935 yudhajit PD       0:00      1 (Priority)
           7404684 general-c     2936 yudhajit PD       0:00      1 (Priority)
           7404685 general-c     2937 yudhajit PD       0:00      1 (Priority)
           7404686 general-c     2938 yudhajit PD       0:00      1 (Priority)
           7404687 general-c     2939 yudhajit PD       0:00      1 (Priority)
           7404688 general-c     2940 yudhajit PD       0:00      1 (Priority)
           7404689 general-c     2941 yudhajit PD       0:00      1 (Priority)
           7404690 general-c     2942 yudhajit PD       0:00      1 (Priority)
           7404692 general-c     2943 yudhajit PD       0:00      1 (Priority)
           7404693 general-c     2944 yudhajit PD       0:00      1 (Priority)
           7404694 general-c     2945 yudhajit PD       0:00      1 (Priority)
           7404695 general-c     2946 yudhajit PD       0:00      1 (Priority)
           7404696 general-c     2947 yudhajit PD       0:00      1 (Priority)
           7404697 general-c     2948 yudhajit PD       0:00      1 (Priority)
           7404698 general-c     2949 yudhajit PD       0:00      1 (Priority)
           7404699 general-c     2950 yudhajit PD       0:00      1 (Priority)
           7404700 general-c     2951 yudhajit PD       0:00      1 (Priority)
           7404701 general-c     2952 yudhajit PD       0:00      1 (Priority)
           7404702 general-c     2953 yudhajit PD       0:00      1 (Priority)
           7404704 general-c     2954 yudhajit PD       0:00      1 (Priority)
           7404705 general-c     2955 yudhajit PD       0:00      1 (Priority)
           7404706 general-c     2956 yudhajit PD       0:00      1 (Priority)
           7404707 general-c     2957 yudhajit PD       0:00      1 (Priority)
           7404708 general-c     2958 yudhajit PD       0:00      1 (Priority)
           7404709 general-c     2959 yudhajit PD       0:00      1 (Priority)
           7404710 general-c     2960 yudhajit PD       0:00      1 (Priority)
           7404711 general-c     2961 yudhajit PD       0:00      1 (Priority)
           7404712 general-c     2962 yudhajit PD       0:00      1 (Priority)
           7404713 general-c     2963 yudhajit PD       0:00      1 (Priority)
           7404714 general-c     2964 yudhajit PD       0:00      1 (Priority)
           7404715 general-c     2965 yudhajit PD       0:00      1 (Priority)
           7404716 general-c     2966 yudhajit PD       0:00      1 (Priority)
           7404717 general-c     2967 yudhajit PD       0:00      1 (Priority)
           7404718 general-c     2968 yudhajit PD       0:00      1 (Priority)
           7404719 general-c     2969 yudhajit PD       0:00      1 (Priority)
           7404720 general-c     2970 yudhajit PD       0:00      1 (Priority)
           7404721 general-c     2971 yudhajit PD       0:00      1 (Priority)
           7404722 general-c     2972 yudhajit PD       0:00      1 (Priority)
           7404723 general-c     2973 yudhajit PD       0:00      1 (Priority)
           7404724 general-c     2974 yudhajit PD       0:00      1 (Priority)
           7404725 general-c     2975 yudhajit PD       0:00      1 (Priority)
           7404726 general-c     2976 yudhajit PD       0:00      1 (Priority)
           7404727 general-c     2977 yudhajit PD       0:00      1 (Priority)
           7404728 general-c     2978 yudhajit PD       0:00      1 (Priority)
           7404729 general-c     2979 yudhajit PD       0:00      1 (Priority)
           7404730 general-c     2980 yudhajit PD       0:00      1 (Priority)
           7404731 general-c     2981 yudhajit PD       0:00      1 (Priority)
           7404732 general-c     2982 yudhajit PD       0:00      1 (Priority)
           7404733 general-c     2983 yudhajit PD       0:00      1 (Priority)
           7404734 general-c     2984 yudhajit PD       0:00      1 (Priority)
           7404735 general-c     2985 yudhajit PD       0:00      1 (Priority)
           7404736 general-c     2986 yudhajit PD       0:00      1 (Priority)
           7404737 general-c     2987 yudhajit PD       0:00      1 (Priority)
           7404738 general-c     2988 yudhajit PD       0:00      1 (Priority)
           7404740 general-c     2989 yudhajit PD       0:00      1 (Priority)
           7404741 general-c     2990 yudhajit PD       0:00      1 (Priority)
           7404742 general-c     2991 yudhajit PD       0:00      1 (Priority)
           7404743 general-c     2992 yudhajit PD       0:00      1 (Priority)
           7404744 general-c     2993 yudhajit PD       0:00      1 (Priority)
           7404745 general-c     2994 yudhajit PD       0:00      1 (Priority)
           7404746 general-c     2995 yudhajit PD       0:00      1 (Priority)
           7404747 general-c     2996 yudhajit PD       0:00      1 (Priority)
           7404748 general-c     2997 yudhajit PD       0:00      1 (Priority)
           7404749 general-c     2998 yudhajit PD       0:00      1 (Priority)
           7404750 general-c     2999 yudhajit PD       0:00      1 (Priority)
           7404751 general-c     3000 yudhajit PD       0:00      1 (Priority)
           7404752 general-c     3001 yudhajit PD       0:00      1 (Priority)
           7404753 general-c     3002 yudhajit PD       0:00      1 (Priority)
           7404755 general-c     3003 yudhajit PD       0:00      1 (Priority)
           7404756 general-c     3004 yudhajit PD       0:00      1 (Priority)
           7404757 general-c     3005 yudhajit PD       0:00      1 (Priority)
           7404758 general-c     3006 yudhajit PD       0:00      1 (Priority)
           7404759 general-c     3007 yudhajit PD       0:00      1 (Priority)
           7404760 general-c     3008 yudhajit PD       0:00      1 (Priority)
           7404761 general-c     3009 yudhajit PD       0:00      1 (Priority)
           7404762 general-c     3010 yudhajit PD       0:00      1 (Priority)
           7404763 general-c     3011 yudhajit PD       0:00      1 (Priority)
           7404764 general-c     3012 yudhajit PD       0:00      1 (Priority)
           7404765 general-c     3013 yudhajit PD       0:00      1 (Priority)
           7404766 general-c     3014 yudhajit PD       0:00      1 (Priority)
