             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7348132 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348133 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348134 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348135 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348136 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348137 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348138 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348139 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348140 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348141 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348142 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348143 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348144 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348145 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348146 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348147 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348148 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348149 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348150 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348151 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348152 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348153 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348154 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348155 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348156 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348157 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348158 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348159 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348160 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348161 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348162 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348163 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348164 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348165 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348166 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348167 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348168 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
